fecha,cantidad
2015-09-09,0
2015-09-10,0
2015-09-11,1
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,2
2015-09-30,15
2015-10-01,157
2015-10-02,395
2015-10-03,183
2015-10-04,64
2015-10-05,8
2015-10-06,11
2015-10-07,18
2015-10-08,4
2015-10-09,6
2015-10-10,16
2015-10-11,5
2015-10-12,8
2015-10-13,52
2015-10-14,23
2015-10-15,112
2015-10-16,18
2015-10-17,0
2015-10-18,24
2015-10-19,8
2015-10-20,1
2015-10-21,55
2015-10-22,34
2015-10-23,5
2015-10-24,51
2015-10-25,13
2015-10-26,7
2015-10-27,20
2015-10-28,15
2015-10-29,10
2015-10-30,6
2015-10-31,32
2015-11-01,21
2015-11-02,5
2015-11-03,8
2015-11-04,52
2015-11-05,7
2015-11-06,7
2015-11-07,30
2015-11-08,33
2015-11-09,5
2015-11-10,11
2015-11-11,40
2015-11-12,39
2015-11-13,9
2015-11-14,6
2015-11-15,4
2015-11-16,17
2015-11-17,18
2015-11-18,46
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,21
2015-11-25,4
2015-11-26,5
2015-11-27,2
2015-11-28,0
2015-11-29,0
2015-11-30,3
2015-12-01,31
2015-12-02,2
2015-12-03,1
2015-12-04,4
2015-12-05,1
2015-12-06,1
2015-12-07,0
2015-12-08,4
2015-12-09,5
2015-12-10,5
2015-12-11,1
2015-12-12,2
2015-12-13,4
2015-12-14,11
2015-12-15,8
2015-12-16,2
2015-12-17,2
2015-12-18,4
2015-12-19,2
2015-12-20,2
2015-12-21,2
2015-12-22,3
2015-12-23,1
2015-12-24,1
2015-12-25,0
2015-12-26,4
2015-12-27,3
2015-12-28,3
2015-12-29,4
2015-12-30,4
2015-12-31,5
2016-01-01,1
2016-01-02,57
2016-01-03,78
2016-01-04,45
2016-01-05,18
2016-01-06,30
2016-01-07,10
2016-01-08,8
2016-01-09,5
2016-01-10,7
2016-01-11,7
2016-01-12,29
2016-01-13,21
2016-01-14,6
2016-01-15,1
2016-01-16,1
2016-01-17,2
2016-01-18,4
2016-01-19,36
2016-01-20,50
2016-01-21,17
2016-01-22,8
2016-01-23,110
2016-01-24,7
2016-01-25,100
2016-01-26,11
2016-01-27,3
2016-01-28,4
2016-01-29,3
2016-01-30,53
2016-01-31,124
2016-02-01,120
2016-02-02,137
2016-02-03,129
2016-02-04,197
2016-02-05,180
2016-02-06,175
2016-02-07,172
2016-02-08,185
2016-02-09,165
2016-02-10,160
2016-02-11,176
2016-02-12,172
2016-02-13,187
2016-02-14,150
2016-02-15,157
2016-02-16,153
2016-02-17,140
2016-02-18,134
2016-02-19,153
2016-02-20,158
2016-02-21,188
2016-02-22,164
2016-02-23,1
2016-02-24,0
2016-02-25,0
2016-02-26,0
